"",Accomack County,VA,Accomack County Voter Registration Office,757-787-2935,"",ocd-division/country:us/state:va/county:accomack
"",Albemarle County,VA,Albemarle County Voter Registration Office,434-972-4173,https://www.albemarle.org/registrar,ocd-division/country:us/state:va/county:albemarle
Alexandria City,"",VA,Alexandria City Voter Registration Office,703-746-4050,http://www.alexandriavoter.org,ocd-division/country:us/state:va/place:alexandria
"",Alleghany County,VA,Alleghany County Voter Registration Office,540-965-1690,"",ocd-division/country:us/state:va/county:alleghany
"",Amelia County,VA,Amelia County Voter Registration Office,804-561-3460,"",ocd-division/country:us/state:va/county:amelia
"",Amherst County,VA,Amherst County Voter Registration Office,434-946-9315,"",ocd-division/country:us/state:va/county:amherst
"",Appomattox County,VA,Appomattox County Voter Registration Office,434-352-5302,"",ocd-division/country:us/state:va/county:appomattox
"",Arlington County,VA,Arlington County Voter Registration Office,703-228-3456,http://vote.arlingtonva.us,ocd-division/country:us/state:va/county:arlington
"",Augusta County,VA,Augusta County Voter Registration Office,540-245-5656,http://www.co.augusta.va.us,ocd-division/country:us/state:va/county:augusta
"",Bath County,VA,Bath County Voter Registration Office,540-839-7266,"",ocd-division/country:us/state:va/county:bath
"",Bedford County,VA,Bedford County Voter Registration Office,540-586-7649,http://www.co.bedford.va.us/Res/vote/index.htm,ocd-division/country:us/state:va/county:bedford
"",Bland County,VA,Bland County Voter Registration Office,276-688-4441,"",ocd-division/country:us/state:va/county:bland
"",Botetourt County,VA,Botetourt County Voter Registration Office,540-473-8235,http://www.co.botetourt.va.us/government/voter_info.php,ocd-division/country:us/state:va/county:botetourt
Bristol City,"",VA,Bristol City Voter Registration Office,276-645-7318,http://www.bristolva.org,ocd-division/country:us/state:va/place:bristol
"",Brunswick County,VA,Brunswick County Voter Registration Office,434-848-4414,"",ocd-division/country:us/state:va/county:brunswick
"",Buchanan County,VA,Buchanan County Voter Registration Office,276-935-6534,"",ocd-division/country:us/state:va/county:buchanan
"",Buckingham County,VA,Buckingham County Voter Registration Office,434-969-4304,"",ocd-division/country:us/state:va/county:buckingham
Buena Vista City,"",VA,Buena Vista City Voter Registration Office,540-261-8605,"",ocd-division/country:us/state:va/place:buena_vista
"",Campbell County,VA,Campbell County Voter Registration Office,434-332-9579,http://www.co.campbell.va.us,ocd-division/country:us/state:va/county:campbell
"",Caroline County,VA,Caroline County Voter Registration Office,804-633-9083,"",ocd-division/country:us/state:va/county:caroline
